pizza_id,Size,Dough,MainFlavor,SecondFlavor,typeFlavor,price
38,Brotinho,Tradicional,Meat & Bacon,Napolitana,Super Premium,34.9
39,Brotinho,Tradicional,Meat & Bacon,Presunto,Super Premium,34.9
40,Brotinho,Tradicional,Meat & Bacon,Pepperoni,Super Premium,34.9
41,Brotinho,Tradicional,Meat & Bacon,Margherita,Super Premium,34.9
42,Brotinho,Tradicional,Meat & Bacon,Pizza de Queijo,Super Premium,34.9
43,Brotinho,Tradicional,Meat & Bacon,Corn & Bacon,Super Premium,34.9
44,Brotinho,Tradicional,Meat & Bacon,Calabresa,Super Premium,34.9
45,Brotinho,Tradicional,Meat & Bacon,Frango com Requeijão,Super Premium,34.9
46,Brotinho,Tradicional,Meat & Bacon,3 Queijos,Super Premium,34.9
47,Brotinho,Tradicional,Extravaganzza®,Extravaganzza®,Super Premium,34.9
48,Brotinho,Tradicional,Extravaganzza®,Veggie®,Super Premium,34.9
49,Brotinho,Tradicional,Extravaganzza®,Portuguesa,Super Premium,34.9
50,Brotinho,Tradicional,Extravaganzza®,Pepperrock,Super Premium,34.9
51,Brotinho,Tradicional,Extravaganzza®,Frango Grelhado,Super Premium,34.9
52,Brotinho,Tradicional,Extravaganzza®,Frango com Cream Cheese,Super Premium,34.9
53,Brotinho,Tradicional,Extravaganzza®,Egg & Bacon,Super Premium,34.9
54,Brotinho,Tradicional,Extravaganzza®,Catuperoni,Super Premium,34.9
55,Brotinho,Tradicional,Extravaganzza®,Calabresa Especial,Super Premium,34.9
56,Brotinho,Tradicional,Extravaganzza®,Búfala La Bianca,Super Premium,34.9
57,Brotinho,Tradicional,Extravaganzza®,Bauru,Super Premium,34.9
58,Brotinho,Tradicional,Extravaganzza®,4 Queijos,Super Premium,34.9
59,Brotinho,Tradicional,Extravaganzza®,América,Super Premium,34.9
60,Brotinho,Tradicional,Extravaganzza®,Napolitana,Super Premium,34.9
61,Brotinho,Tradicional,Extravaganzza®,Presunto,Super Premium,34.9
62,Brotinho,Tradicional,Extravaganzza®,Pepperoni,Super Premium,34.9
63,Brotinho,Tradicional,Extravaganzza®,Margherita,Super Premium,34.9
64,Brotinho,Tradicional,Extravaganzza®,Pizza de Queijo,Super Premium,34.9
65,Brotinho,Tradicional,Extravaganzza®,Corn & Bacon,Super Premium,34.9
66,Brotinho,Tradicional,Extravaganzza®,Calabresa,Super Premium,34.9
67,Brotinho,Tradicional,Extravaganzza®,Frango com Requeijão,Super Premium,34.9
68,Brotinho,Tradicional,Extravaganzza®,3 Queijos,Super Premium,34.9
69,Brotinho,Tradicional,Veggie®,Veggie®,Super Premium,34.9
70,Brotinho,Tradicional,Veggie®,Portuguesa,Super Premium,34.9
71,Brotinho,Tradicional,Veggie®,Pepperrock,Super Premium,34.9
72,Brotinho,Tradicional,Veggie®,Frango Grelhado,Super Premium,34.9
73,Brotinho,Tradicional,Veggie®,Frango com Cream Cheese,Super Premium,34.9
74,Brotinho,Tradicional,Veggie®,Egg & Bacon,Super Premium,34.9
75,Brotinho,Tradicional,Veggie®,Catuperoni,Super Premium,34.9
76,Brotinho,Tradicional,Veggie®,Calabresa Especial,Super Premium,34.9
77,Brotinho,Tradicional,Veggie®,Búfala La Bianca,Super Premium,34.9
78,Brotinho,Tradicional,Veggie®,Bauru,Super Premium,34.9
79,Brotinho,Tradicional,Veggie®,4 Queijos,Super Premium,34.9
80,Brotinho,Tradicional,Veggie®,América,Super Premium,34.9
81,Brotinho,Tradicional,Veggie®,Napolitana,Super Premium,34.9
82,Brotinho,Tradicional,Veggie®,Presunto,Super Premium,34.9
83,Brotinho,Tradicional,Veggie®,Pepperoni,Super Premium,34.9
84,Brotinho,Tradicional,Veggie®,Margherita,Super Premium,34.9
85,Brotinho,Tradicional,Veggie®,Pizza de Queijo,Super Premium,34.9
86,Brotinho,Tradicional,Veggie®,Corn & Bacon,Super Premium,34.9
87,Brotinho,Tradicional,Veggie®,Calabresa,Super Premium,34.9
88,Brotinho,Tradicional,Veggie®,Frango com Requeijão,Super Premium,34.9
89,Brotinho,Tradicional,Veggie®,3 Queijos,Super Premium,34.9
90,Brotinho,Tradicional,Portuguesa,Portuguesa,Super Premium,34.9
91,Brotinho,Tradicional,Portuguesa,Pepperrock,Super Premium,34.9
92,Brotinho,Tradicional,Portuguesa,Frango Grelhado,Super Premium,34.9
93,Brotinho,Tradicional,Portuguesa,Frango com Cream Cheese,Super Premium,34.9
94,Brotinho,Tradicional,Portuguesa,Egg & Bacon,Super Premium,34.9
95,Brotinho,Tradicional,Portuguesa,Catuperoni,Super Premium,34.9
96,Brotinho,Tradicional,Portuguesa,Calabresa Especial,Super Premium,34.9
97,Brotinho,Tradicional,Portuguesa,Búfala La Bianca,Super Premium,34.9
98,Brotinho,Tradicional,Portuguesa,Bauru,Super Premium,34.9
99,Brotinho,Tradicional,Portuguesa,4 Queijos,Super Premium,34.9
100,Brotinho,Tradicional,Portuguesa,América,Super Premium,34.9
101,Brotinho,Tradicional,Portuguesa,Napolitana,Super Premium,34.9
102,Brotinho,Tradicional,Portuguesa,Presunto,Super Premium,34.9
103,Brotinho,Tradicional,Portuguesa,Pepperoni,Super Premium,34.9
104,Brotinho,Tradicional,Portuguesa,Margherita,Super Premium,34.9
105,Brotinho,Tradicional,Portuguesa,Pizza de Queijo,Super Premium,34.9
106,Brotinho,Tradicional,Portuguesa,Corn & Bacon,Super Premium,34.9
107,Brotinho,Tradicional,Portuguesa,Calabresa,Super Premium,34.9
108,Brotinho,Tradicional,Portuguesa,Frango com Requeijão,Super Premium,34.9
109,Brotinho,Tradicional,Portuguesa,3 Queijos,Super Premium,34.9
110,Brotinho,Tradicional,Pepperrock,Pepperrock,Super Premium,34.9
111,Brotinho,Tradicional,Pepperrock,Frango Grelhado,Super Premium,34.9
112,Brotinho,Tradicional,Pepperrock,Frango com Cream Cheese,Super Premium,34.9
113,Brotinho,Tradicional,Pepperrock,Egg & Bacon,Super Premium,34.9
114,Brotinho,Tradicional,Pepperrock,Catuperoni,Super Premium,34.9
115,Brotinho,Tradicional,Pepperrock,Calabresa Especial,Super Premium,34.9
116,Brotinho,Tradicional,Pepperrock,Búfala La Bianca,Super Premium,34.9
117,Brotinho,Tradicional,Pepperrock,Bauru,Super Premium,34.9
118,Brotinho,Tradicional,Pepperrock,4 Queijos,Super Premium,34.9
119,Brotinho,Tradicional,Pepperrock,América,Super Premium,34.9
120,Brotinho,Tradicional,Pepperrock,Napolitana,Super Premium,34.9
121,Brotinho,Tradicional,Pepperrock,Presunto,Super Premium,34.9
122,Brotinho,Tradicional,Pepperrock,Pepperoni,Super Premium,34.9
123,Brotinho,Tradicional,Pepperrock,Margherita,Super Premium,34.9
124,Brotinho,Tradicional,Pepperrock,Pizza de Queijo,Super Premium,34.9
125,Brotinho,Tradicional,Pepperrock,Corn & Bacon,Super Premium,34.9
126,Brotinho,Tradicional,Pepperrock,Calabresa,Super Premium,34.9
127,Brotinho,Tradicional,Pepperrock,Frango com Requeijão,Super Premium,34.9
128,Brotinho,Tradicional,Pepperrock,3 Queijos,Super Premium,34.9
129,Brotinho,Tradicional,Frango Grelhado,Frango Grelhado,Super Premium,34.9
130,Brotinho,Tradicional,Frango Grelhado,Frango com Cream Cheese,Super Premium,34.9
131,Brotinho,Tradicional,Frango Grelhado,Egg & Bacon,Super Premium,34.9
132,Brotinho,Tradicional,Frango Grelhado,Catuperoni,Super Premium,34.9
133,Brotinho,Tradicional,Frango Grelhado,Calabresa Especial,Super Premium,34.9
134,Brotinho,Tradicional,Frango Grelhado,Búfala La Bianca,Super Premium,34.9
135,Brotinho,Tradicional,Frango Grelhado,Bauru,Super Premium,34.9
136,Brotinho,Tradicional,Frango Grelhado,4 Queijos,Super Premium,34.9
137,Brotinho,Tradicional,Frango Grelhado,América,Super Premium,34.9
138,Brotinho,Tradicional,Frango Grelhado,Napolitana,Super Premium,34.9
139,Brotinho,Tradicional,Frango Grelhado,Presunto,Super Premium,34.9
140,Brotinho,Tradicional,Frango Grelhado,Pepperoni,Super Premium,34.9
141,Brotinho,Tradicional,Frango Grelhado,Margherita,Super Premium,34.9
142,Brotinho,Tradicional,Frango Grelhado,Pizza de Queijo,Super Premium,34.9
143,Brotinho,Tradicional,Frango Grelhado,Corn & Bacon,Super Premium,34.9
144,Brotinho,Tradicional,Frango Grelhado,Calabresa,Super Premium,34.9
145,Brotinho,Tradicional,Frango Grelhado,Frango com Requeijão,Super Premium,34.9
146,Brotinho,Tradicional,Frango Grelhado,3 Queijos,Super Premium,34.9
147,Brotinho,Tradicional,Frango com Cream Cheese,Frango com Cream Cheese,Premium,31.9
148,Brotinho,Tradicional,Frango com Cream Cheese,Egg & Bacon,Premium,31.9
149,Brotinho,Tradicional,Frango com Cream Cheese,Catuperoni,Premium,31.9
150,Brotinho,Tradicional,Frango com Cream Cheese,Calabresa Especial,Premium,31.9
151,Brotinho,Tradicional,Frango com Cream Cheese,Búfala La Bianca,Premium,31.9
152,Brotinho,Tradicional,Frango com Cream Cheese,Bauru,Premium,31.9
153,Brotinho,Tradicional,Frango com Cream Cheese,4 Queijos,Premium,31.9
154,Brotinho,Tradicional,Frango com Cream Cheese,América,Premium,31.9
155,Brotinho,Tradicional,Frango com Cream Cheese,Napolitana,Premium,31.9
156,Brotinho,Tradicional,Frango com Cream Cheese,Presunto,Premium,31.9
157,Brotinho,Tradicional,Frango com Cream Cheese,Pepperoni,Premium,31.9
158,Brotinho,Tradicional,Frango com Cream Cheese,Margherita,Premium,31.9
159,Brotinho,Tradicional,Frango com Cream Cheese,Pizza de Queijo,Premium,31.9
160,Brotinho,Tradicional,Frango com Cream Cheese,Corn & Bacon,Premium,31.9
161,Brotinho,Tradicional,Frango com Cream Cheese,Calabresa,Premium,31.9
162,Brotinho,Tradicional,Frango com Cream Cheese,Frango com Requeijão,Premium,31.9
163,Brotinho,Tradicional,Frango com Cream Cheese,3 Queijos,Premium,31.9
164,Brotinho,Tradicional,Egg & Bacon,Egg & Bacon,Premium,31.9
165,Brotinho,Tradicional,Egg & Bacon,Catuperoni,Premium,31.9
166,Brotinho,Tradicional,Egg & Bacon,Calabresa Especial,Premium,31.9
167,Brotinho,Tradicional,Egg & Bacon,Búfala La Bianca,Premium,31.9
168,Brotinho,Tradicional,Egg & Bacon,Bauru,Premium,31.9
169,Brotinho,Tradicional,Egg & Bacon,4 Queijos,Premium,31.9
170,Brotinho,Tradicional,Egg & Bacon,América,Premium,31.9
171,Brotinho,Tradicional,Egg & Bacon,Napolitana,Premium,31.9
172,Brotinho,Tradicional,Egg & Bacon,Presunto,Premium,31.9
173,Brotinho,Tradicional,Egg & Bacon,Pepperoni,Premium,31.9
174,Brotinho,Tradicional,Egg & Bacon,Margherita,Premium,31.9
175,Brotinho,Tradicional,Egg & Bacon,Pizza de Queijo,Premium,31.9
176,Brotinho,Tradicional,Egg & Bacon,Corn & Bacon,Premium,31.9
177,Brotinho,Tradicional,Egg & Bacon,Calabresa,Premium,31.9
178,Brotinho,Tradicional,Egg & Bacon,Frango com Requeijão,Premium,31.9
179,Brotinho,Tradicional,Egg & Bacon,3 Queijos,Premium,31.9
180,Brotinho,Tradicional,Catuperoni,Catuperoni,Premium,31.9
181,Brotinho,Tradicional,Catuperoni,Calabresa Especial,Premium,31.9
182,Brotinho,Tradicional,Catuperoni,Búfala La Bianca,Premium,31.9
183,Brotinho,Tradicional,Catuperoni,Bauru,Premium,31.9
184,Brotinho,Tradicional,Catuperoni,4 Queijos,Premium,31.9
185,Brotinho,Tradicional,Catuperoni,América,Premium,31.9
186,Brotinho,Tradicional,Catuperoni,Napolitana,Premium,31.9
187,Brotinho,Tradicional,Catuperoni,Presunto,Premium,31.9
188,Brotinho,Tradicional,Catuperoni,Pepperoni,Premium,31.9
189,Brotinho,Tradicional,Catuperoni,Margherita,Premium,31.9
190,Brotinho,Tradicional,Catuperoni,Pizza de Queijo,Premium,31.9
191,Brotinho,Tradicional,Catuperoni,Corn & Bacon,Premium,31.9
192,Brotinho,Tradicional,Catuperoni,Calabresa,Premium,31.9
193,Brotinho,Tradicional,Catuperoni,Frango com Requeijão,Premium,31.9
194,Brotinho,Tradicional,Catuperoni,3 Queijos,Premium,31.9
195,Brotinho,Tradicional,Calabresa Especial,Calabresa Especial,Premium,31.9
196,Brotinho,Tradicional,Calabresa Especial,Búfala La Bianca,Premium,31.9
197,Brotinho,Tradicional,Calabresa Especial,Bauru,Premium,31.9
198,Brotinho,Tradicional,Calabresa Especial,4 Queijos,Premium,31.9
199,Brotinho,Tradicional,Calabresa Especial,América,Premium,31.9
200,Brotinho,Tradicional,Calabresa Especial,Napolitana,Premium,31.9
201,Brotinho,Tradicional,Calabresa Especial,Presunto,Premium,31.9
202,Brotinho,Tradicional,Calabresa Especial,Pepperoni,Premium,31.9
203,Brotinho,Tradicional,Calabresa Especial,Margherita,Premium,31.9
204,Brotinho,Tradicional,Calabresa Especial,Pizza de Queijo,Premium,31.9
205,Brotinho,Tradicional,Calabresa Especial,Corn & Bacon,Premium,31.9
206,Brotinho,Tradicional,Calabresa Especial,Calabresa,Premium,31.9
207,Brotinho,Tradicional,Calabresa Especial,Frango com Requeijão,Premium,31.9
208,Brotinho,Tradicional,Calabresa Especial,3 Queijos,Premium,31.9
209,Brotinho,Tradicional,Búfala La Bianca,Búfala La Bianca,Premium,31.9
210,Brotinho,Tradicional,Búfala La Bianca,Bauru,Premium,31.9
211,Brotinho,Tradicional,Búfala La Bianca,4 Queijos,Premium,31.9
212,Brotinho,Tradicional,Búfala La Bianca,América,Premium,31.9
213,Brotinho,Tradicional,Búfala La Bianca,Napolitana,Premium,31.9
214,Brotinho,Tradicional,Búfala La Bianca,Presunto,Premium,31.9
215,Brotinho,Tradicional,Búfala La Bianca,Pepperoni,Premium,31.9
216,Brotinho,Tradicional,Búfala La Bianca,Margherita,Premium,31.9
217,Brotinho,Tradicional,Búfala La Bianca,Pizza de Queijo,Premium,31.9
218,Brotinho,Tradicional,Búfala La Bianca,Corn & Bacon,Premium,31.9
219,Brotinho,Tradicional,Búfala La Bianca,Calabresa,Premium,31.9
220,Brotinho,Tradicional,Búfala La Bianca,Frango com Requeijão,Premium,31.9
221,Brotinho,Tradicional,Búfala La Bianca,3 Queijos,Premium,31.9
222,Brotinho,Tradicional,Bauru,Bauru,Premium,31.9
223,Brotinho,Tradicional,Bauru,4 Queijos,Premium,31.9
224,Brotinho,Tradicional,Bauru,América,Premium,31.9
225,Brotinho,Tradicional,Bauru,Napolitana,Premium,31.9
226,Brotinho,Tradicional,Bauru,Presunto,Premium,31.9
227,Brotinho,Tradicional,Bauru,Pepperoni,Premium,31.9
228,Brotinho,Tradicional,Bauru,Margherita,Premium,31.9
229,Brotinho,Tradicional,Bauru,Pizza de Queijo,Premium,31.9
230,Brotinho,Tradicional,Bauru,Corn & Bacon,Premium,31.9
231,Brotinho,Tradicional,Bauru,Calabresa,Premium,31.9
232,Brotinho,Tradicional,Bauru,Frango com Requeijão,Premium,31.9
233,Brotinho,Tradicional,Bauru,3 Queijos,Premium,31.9
234,Brotinho,Tradicional,4 Queijos,4 Queijos,Premium,31.9
235,Brotinho,Tradicional,4 Queijos,América,Premium,31.9
236,Brotinho,Tradicional,4 Queijos,Napolitana,Premium,31.9
237,Brotinho,Tradicional,4 Queijos,Presunto,Premium,31.9
238,Brotinho,Tradicional,4 Queijos,Pepperoni,Premium,31.9
239,Brotinho,Tradicional,4 Queijos,Margherita,Premium,31.9
240,Brotinho,Tradicional,4 Queijos,Pizza de Queijo,Premium,31.9
241,Brotinho,Tradicional,4 Queijos,Corn & Bacon,Premium,31.9
242,Brotinho,Tradicional,4 Queijos,Calabresa,Premium,31.9
243,Brotinho,Tradicional,4 Queijos,Frango com Requeijão,Premium,31.9
244,Brotinho,Tradicional,4 Queijos,3 Queijos,Premium,31.9
245,Brotinho,Tradicional,América,América,Premium,31.9
246,Brotinho,Tradicional,América,Napolitana,Premium,31.9
247,Brotinho,Tradicional,América,Presunto,Premium,31.9
248,Brotinho,Tradicional,América,Pepperoni,Premium,31.9
249,Brotinho,Tradicional,América,Margherita,Premium,31.9
250,Brotinho,Tradicional,América,Pizza de Queijo,Premium,31.9
251,Brotinho,Tradicional,América,Corn & Bacon,Premium,31.9
252,Brotinho,Tradicional,América,Calabresa,Premium,31.9
253,Brotinho,Tradicional,América,Frango com Requeijão,Premium,31.9
254,Brotinho,Tradicional,América,3 Queijos,Premium,31.9
255,Brotinho,Tradicional,Napolitana,Napolitana,Especialidade,28.9
256,Brotinho,Tradicional,Napolitana,Presunto,Especialidade,28.9
257,Brotinho,Tradicional,Napolitana,Pepperoni,Especialidade,28.9
258,Brotinho,Tradicional,Napolitana,Margherita,Especialidade,28.9
259,Brotinho,Tradicional,Napolitana,Pizza de Queijo,Especialidade,28.9
260,Brotinho,Tradicional,Napolitana,Corn & Bacon,Especialidade,28.9
261,Brotinho,Tradicional,Napolitana,Calabresa,Especialidade,28.9
262,Brotinho,Tradicional,Napolitana,Frango com Requeijão,Especialidade,28.9
263,Brotinho,Tradicional,Napolitana,3 Queijos,Especialidade,28.9
264,Brotinho,Tradicional,Presunto,Presunto,Especialidade,28.9
265,Brotinho,Tradicional,Presunto,Pepperoni,Especialidade,28.9
266,Brotinho,Tradicional,Presunto,Margherita,Especialidade,28.9
267,Brotinho,Tradicional,Presunto,Pizza de Queijo,Especialidade,28.9
268,Brotinho,Tradicional,Presunto,Corn & Bacon,Especialidade,28.9
269,Brotinho,Tradicional,Presunto,Calabresa,Especialidade,28.9
270,Brotinho,Tradicional,Presunto,Frango com Requeijão,Especialidade,28.9
271,Brotinho,Tradicional,Presunto,3 Queijos,Especialidade,28.9
272,Brotinho,Tradicional,Pepperoni,Pepperoni,Especialidade,28.9
273,Brotinho,Tradicional,Pepperoni,Margherita,Especialidade,28.9
274,Brotinho,Tradicional,Pepperoni,Pizza de Queijo,Especialidade,28.9
275,Brotinho,Tradicional,Pepperoni,Corn & Bacon,Especialidade,28.9
276,Brotinho,Tradicional,Pepperoni,Calabresa,Especialidade,28.9
277,Brotinho,Tradicional,Pepperoni,Frango com Requeijão,Especialidade,28.9
278,Brotinho,Tradicional,Pepperoni,3 Queijos,Especialidade,28.9
279,Brotinho,Tradicional,Margherita,Margherita,Especialidade,28.9
280,Brotinho,Tradicional,Margherita,Pizza de Queijo,Especialidade,28.9
281,Brotinho,Tradicional,Margherita,Corn & Bacon,Especialidade,28.9
282,Brotinho,Tradicional,Margherita,Calabresa,Especialidade,28.9
283,Brotinho,Tradicional,Margherita,Frango com Requeijão,Especialidade,28.9
284,Brotinho,Tradicional,Margherita,3 Queijos,Especialidade,28.9
285,Brotinho,Tradicional,Pizza de Queijo,Pizza de Queijo,Especialidade,28.9
286,Brotinho,Tradicional,Pizza de Queijo,Corn & Bacon,Especialidade,28.9
287,Brotinho,Tradicional,Pizza de Queijo,Calabresa,Especialidade,28.9
288,Brotinho,Tradicional,Pizza de Queijo,Frango com Requeijão,Especialidade,28.9
289,Brotinho,Tradicional,Pizza de Queijo,3 Queijos,Especialidade,28.9
290,Brotinho,Tradicional,Corn & Bacon,Corn & Bacon,Especialidade,28.9
291,Brotinho,Tradicional,Corn & Bacon,Calabresa,Especialidade,28.9
292,Brotinho,Tradicional,Corn & Bacon,Frango com Requeijão,Especialidade,28.9
293,Brotinho,Tradicional,Corn & Bacon,3 Queijos,Especialidade,28.9
294,Brotinho,Tradicional,Calabresa,Calabresa,Especialidade,28.9
295,Brotinho,Tradicional,Calabresa,Frango com Requeijão,Especialidade,28.9
296,Brotinho,Tradicional,Calabresa,3 Queijos,Especialidade,28.9
297,Brotinho,Tradicional,Frango com Requeijão,Frango com Requeijão,Especialidade,28.9
298,Brotinho,Tradicional,Frango com Requeijão,3 Queijos,Especialidade,28.9
299,Brotinho,Tradicional,3 Queijos,3 Queijos,Especialidade,28.9
300,Média,Tradicional,Frango com Barbecue,Frango com Barbecue,Super Premium,72.9
301,Média,Tradicional,Frango com Barbecue,Meat & Bacon,Super Premium,72.9
302,Média,Tradicional,Frango com Barbecue,Extravaganzza®,Super Premium,72.9
303,Média,Tradicional,Frango com Barbecue,Veggie®,Super Premium,72.9
304,Média,Tradicional,Frango com Barbecue,Portuguesa,Super Premium,72.9
305,Média,Tradicional,Frango com Barbecue,Pepperrock,Super Premium,72.9
306,Média,Tradicional,Frango com Barbecue,Frango Grelhado,Super Premium,72.9
307,Média,Tradicional,Frango com Barbecue,Frango com Cream Cheese,Super Premium,72.9
308,Média,Tradicional,Frango com Barbecue,Egg & Bacon,Super Premium,72.9
309,Média,Tradicional,Frango com Barbecue,Catuperoni,Super Premium,72.9
310,Média,Tradicional,Frango com Barbecue,Calabresa Especial,Super Premium,72.9
311,Média,Tradicional,Frango com Barbecue,Búfala La Bianca,Super Premium,72.9
312,Média,Tradicional,Frango com Barbecue,Bauru,Super Premium,72.9
313,Média,Tradicional,Frango com Barbecue,4 Queijos,Super Premium,72.9
314,Média,Tradicional,Frango com Barbecue,América,Super Premium,72.9
315,Média,Tradicional,Frango com Barbecue,Napolitana,Super Premium,72.9
316,Média,Tradicional,Frango com Barbecue,Presunto,Super Premium,72.9
317,Média,Tradicional,Frango com Barbecue,Pepperoni,Super Premium,72.9
318,Média,Tradicional,Frango com Barbecue,Margherita,Super Premium,72.9
319,Média,Tradicional,Frango com Barbecue,Pizza de Queijo,Super Premium,72.9
320,Média,Tradicional,Frango com Barbecue,Corn & Bacon,Super Premium,72.9
321,Média,Tradicional,Frango com Barbecue,Calabresa,Super Premium,72.9
322,Média,Tradicional,Frango com Barbecue,Frango com Requeijão,Super Premium,72.9
323,Média,Tradicional,Frango com Barbecue,3 Queijos,Super Premium,72.9
324,Média,Tradicional,Meat & Bacon,Meat & Bacon,Super Premium,72.9
325,Média,Tradicional,Meat & Bacon,Extravaganzza®,Super Premium,72.9
326,Média,Tradicional,Meat & Bacon,Veggie®,Super Premium,72.9
327,Média,Tradicional,Meat & Bacon,Portuguesa,Super Premium,72.9
328,Média,Tradicional,Meat & Bacon,Pepperrock,Super Premium,72.9
329,Média,Tradicional,Meat & Bacon,Frango Grelhado,Super Premium,72.9
330,Média,Tradicional,Meat & Bacon,Frango com Cream Cheese,Super Premium,72.9
331,Média,Tradicional,Meat & Bacon,Egg & Bacon,Super Premium,72.9
332,Média,Tradicional,Meat & Bacon,Catuperoni,Super Premium,72.9
333,Média,Tradicional,Meat & Bacon,Calabresa Especial,Super Premium,72.9
334,Média,Tradicional,Meat & Bacon,Búfala La Bianca,Super Premium,72.9
335,Média,Tradicional,Meat & Bacon,Bauru,Super Premium,72.9
336,Média,Tradicional,Meat & Bacon,4 Queijos,Super Premium,72.9
337,Média,Tradicional,Meat & Bacon,América,Super Premium,72.9
338,Média,Tradicional,Meat & Bacon,Napolitana,Super Premium,72.9
339,Média,Tradicional,Meat & Bacon,Presunto,Super Premium,72.9
340,Média,Tradicional,Meat & Bacon,Pepperoni,Super Premium,72.9
341,Média,Tradicional,Meat & Bacon,Margherita,Super Premium,72.9
342,Média,Tradicional,Meat & Bacon,Pizza de Queijo,Super Premium,72.9
343,Média,Tradicional,Meat & Bacon,Corn & Bacon,Super Premium,72.9
344,Média,Tradicional,Meat & Bacon,Calabresa,Super Premium,72.9
345,Média,Tradicional,Meat & Bacon,Frango com Requeijão,Super Premium,72.9
346,Média,Tradicional,Meat & Bacon,3 Queijos,Super Premium,72.9
347,Média,Tradicional,Extravaganzza®,Extravaganzza®,Super Premium,72.9
348,Média,Tradicional,Extravaganzza®,Veggie®,Super Premium,72.9
349,Média,Tradicional,Extravaganzza®,Portuguesa,Super Premium,72.9
350,Média,Tradicional,Extravaganzza®,Pepperrock,Super Premium,72.9
351,Média,Tradicional,Extravaganzza®,Frango Grelhado,Super Premium,72.9
352,Média,Tradicional,Extravaganzza®,Frango com Cream Cheese,Super Premium,72.9
353,Média,Tradicional,Extravaganzza®,Egg & Bacon,Super Premium,72.9
354,Média,Tradicional,Extravaganzza®,Catuperoni,Super Premium,72.9
355,Média,Tradicional,Extravaganzza®,Calabresa Especial,Super Premium,72.9
356,Média,Tradicional,Extravaganzza®,Búfala La Bianca,Super Premium,72.9
357,Média,Tradicional,Extravaganzza®,Bauru,Super Premium,72.9
358,Média,Tradicional,Extravaganzza®,4 Queijos,Super Premium,72.9
359,Média,Tradicional,Extravaganzza®,América,Super Premium,72.9
360,Média,Tradicional,Extravaganzza®,Napolitana,Super Premium,72.9
361,Média,Tradicional,Extravaganzza®,Presunto,Super Premium,72.9
362,Média,Tradicional,Extravaganzza®,Pepperoni,Super Premium,72.9
